player,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,damagetochampions,dpm,damageshare,damagetakenperminute,wardsplaced,wpm,controlwardsbought,vspm,totalgold,earned gpm,earnedgoldshare,cspm,golddiffat10,xpdiffat10,csdiffat10,golddiffat15,xpdiffat15,csdiffat15,gamelength
Impact,2.2632,2.0526,5.2105,0.2105,0.0,0.0,0.0,14163.0526,443.9095,0.201,802.0065,8.4737,0.2679,5.1579,1.0378,12261.1579,251.307,0.2071,7.6729,118.6316,104.3684,3.2632,-120.0526,-54.3158,-1.3158,1921.6842
Spica,2.5263,2.2105,7.8421,0.1053,0.0,0.0,0.0,12139.3684,381.6919,0.171,982.6925,9.6842,0.3098,8.7895,1.773,11182.6316,218.3214,0.1796,5.779,169.4737,188.8421,5.6316,352.8947,212.0,8.4737,1921.6842
VicLa,3.3684,2.7895,6.2105,0.4211,0.0526,0.0,0.0,19236.0,604.4189,0.2721,717.6564,11.5263,0.3651,9.7895,1.2524,13095.6842,278.4909,0.23,8.3685,95.6842,205.6842,2.8421,63.2632,218.4737,0.3684,1921.6842
Prince,5.3158,1.6316,4.2105,1.1579,0.3158,0.1579,0.0526,20461.9474,639.9095,0.2882,387.3167,15.5263,0.4813,6.0526,1.7825,15361.2632,346.047,0.2842,10.0403,137.1579,23.5263,2.0526,185.6842,-212.6316,-0.9474,1921.6842
Winsome,1.0,1.8889,9.3333,0.1111,0.0,0.0,0.0,4702.1111,147.7161,0.0644,321.2502,34.7778,1.0868,14.6667,3.2808,8301.5556,129.3659,0.1017,0.9377,47.6667,66.7778,0.3333,186.2222,-53.5556,1.4444,1920.8889
Dhokla,2.6316,3.3684,4.1053,0.2632,0.1053,0.0,0.0,17385.2105,487.022,0.2281,821.0294,11.2632,0.3111,6.2105,1.1144,13932.4737,261.5639,0.2299,8.0185,-57.1579,-89.4737,-3.0,221.2632,102.0526,2.7895,2140.0526
Contractz,2.2632,3.0,6.5263,0.1053,0.0,0.0,0.0,13687.6316,380.8854,0.1685,888.0161,9.4211,0.2658,8.9474,1.4855,11387.1053,188.8798,0.1671,5.3897,15.2632,68.8947,0.4211,34.7895,77.7895,0.4737,2140.0526
Palafox,3.3684,2.0,4.8947,0.3684,0.0,0.0,0.0,22589.1579,622.8298,0.2782,514.7307,13.6842,0.3759,6.4737,1.2163,14633.4737,278.2253,0.2469,8.9073,-69.2632,-205.1579,-5.6316,40.3684,-18.7895,-2.1579,2140.0526
Luger,3.6842,1.6316,4.4211,0.5789,0.1053,0.1053,0.0,20005.7368,535.6391,0.2354,387.6445,8.2632,0.2277,3.4211,1.387,15284.7895,295.2365,0.26,9.5438,-101.7368,-6.1579,0.0,-12.8947,103.3158,3.4211,2140.0526
Poome,0.5789,3.0526,8.6842,0.0,0.0,0.0,0.0,6499.6842,188.8101,0.0898,374.4324,48.0,1.2998,11.6842,3.2062,8552.9474,109.8049,0.0961,1.005,-54.5263,-8.7368,0.1579,-55.5789,109.8421,1.4737,2140.0526
Armut,1.8333,2.9444,2.8889,0.0556,0.0,0.0,0.0,15401.1667,455.278,0.2282,823.2451,12.1667,0.3605,7.0556,1.2181,12104.3889,233.8808,0.2423,7.8286,22.7222,56.4444,1.6667,92.8889,-7.1111,1.0556,1987.5
Santorin,1.3333,2.7778,4.5,0.0556,0.0,0.0,0.0,8764.9444,260.4671,0.1316,901.6432,7.3333,0.2199,8.1111,1.7686,9604.3333,159.0789,0.1652,4.8717,-64.2222,-185.7222,-3.2222,-295.1111,-298.5556,-6.0,1987.5
Jensen,2.5,2.9444,2.8889,0.2222,0.0,0.0,0.0,19019.9444,561.553,0.2808,527.2469,8.9444,0.2657,4.2778,0.9804,12628.1667,247.8051,0.2573,8.7076,105.1111,121.1667,2.8333,-9.2222,200.2778,4.3889,1987.5
