,gameid,datacompleteness,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
5086,ESPORTSTMNT02_3140740,complete,LCS,2023,Spring,0,2023-01-26 22:16:48,1,13.01,100,Blue,team,,,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,,Fiora,Zilean,Ryze,Sejuani,Kassadin,1954,1,25,8,60,25,8,2.0,1.0,1.0,0.0,1.0,,,,0.7677,1.0133,0.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,9.0,2.0,1.0,1.0,5.0,3.0,2.0,0.0,101324,3111.2794,,3199.7441,4547.3797,105,3.2242,42,1.2897,37,280,8.5977,62639,41330,1269.089,,56160,0.137596,,833.0,188,,,31.3511,15172.0,18777.0,311.0,15127.0,17925.0,316.0,45.0,852.0,-5.0,1.0,0.0,0.0,0.0,0.0,1.0,24189.0,29655.0,509.0,22939.0,29945.0,528.0,1250.0,-290.0,-19.0,1.0,0.0,0.0,0.0,0.0,1.0
5087,ESPORTSTMNT02_3140740,complete,LCS,2023,Spring,0,2023-01-26 22:16:48,1,13.01,200,Red,team,,,100 Thieves,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,,Zeri,Sivir,Lucian,Elise,Maokai,1954,0,8,25,16,8,25,1.0,0.0,0.0,0.0,0.0,,,,0.2456,1.0133,1.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,9.0,0.0,0.0,3.0,5.0,0.0,2.0,66472,2041.1054,,3913.1116,3212.4258,92,2.825,37,1.1361,34,203,6.2334,53661,32352,993.4084,,48930,-0.137596,,802.0,182,,,30.2149,15127.0,17925.0,316.0,15172.0,18777.0,311.0,-45.0,-852.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,22939.0,29945.0,528.0,24189.0,29655.0,509.0,-1250.0,290.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0
5112,ESPORTSTMNT02_3141793,complete,LCS,2023,Spring,0,2023-01-26 23:18:55,1,13.01,1,Blue,top,Ssumday,oe:player:f35d122e169ccf24593a4d06927a3e2,Evil Geniuses,oe:team:f7f7324c151aa6ed770b244ce08e027,Jax,Elise,Maokai,Yuumi,K'Sante,Nautilus,2582,1,4,6,3,18,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4183,0.7901,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,21053,489.2254,0.204073,949.4036,788.4586,23,0.5345,10,0.2324,10,62,1.4407,16933,11390,264.6785,0.215434,18650,,367.0,331.0,36,,,8.5283,3582.0,4961.0,78.0,3184.0,4513.0,87.0,398.0,448.0,-9.0,1.0,0.0,0.0,0.0,0.0,1.0,5720.0,7794.0,123.0,4923.0,7305.0,132.0,797.0,489.0,-9.0,2.0,0.0,1.0,0.0,1.0,2.0
5113,ESPORTSTMNT02_3141793,complete,LCS,2023,Spring,0,2023-01-26 23:18:55,1,13.01,2,Blue,jng,Inspired,oe:player:a8307167f3a1c933295bb9e3d43700e,Evil Geniuses,oe:team:f7f7324c151aa6ed770b244ce08e027,Sejuani,Elise,Maokai,Yuumi,K'Sante,Nautilus,2582,1,5,2,9,18,17,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4183,0.7901,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,1.0,0.0,11465,266.4214,0.111134,1114.4152,2076.9016,20,0.4648,24,0.5577,16,81,1.8823,15584,10041,233.3308,0.189919,13750,,247.0,68.0,179,,,5.7397,3519.0,3316.0,52.0,3042.0,3315.0,58.0,477.0,1.0,-6.0,1.0,1.0,0.0,0.0,1.0,0.0,6116.0,5997.0,85.0,5258.0,5703.0,95.0,858.0,294.0,-10.0,4.0,2.0,0.0,2.0,2.0,1.0
5114,ESPORTSTMNT02_3141793,complete,LCS,2023,Spring,0,2023-01-26 23:18:55,1,13.01,3,Blue,mid,jojopyun,oe:player:83eb62484689106807fcf5ad55b5479,Evil Geniuses,oe:team:f7f7324c151aa6ed770b244ce08e027,Azir,Elise,Maokai,Yuumi,K'Sante,Nautilus,2582,1,1,7,6,18,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4183,0.7901,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,30023,697.6685,0.291022,683.3308,342.1766,8,0.1859,12,0.2789,5,46,1.0689,16588,11045,256.6615,0.208909,14025,,389.0,371.0,18,,,9.0395,3339.0,4539.0,90.0,3189.0,4603.0,65.0,150.0,-64.0,25.0,0.0,0.0,1.0,1.0,0.0,0.0,5007.0,7134.0,141.0,5208.0,7369.0,111.0,-201.0,-235.0,30.0,0.0,0.0,2.0,2.0,1.0,1.0
5115,ESPORTSTMNT02_3141793,complete,LCS,2023,Spring,0,2023-01-26 23:18:55,1,13.01,4,Blue,bot,FBI,oe:player:73d2b65353d7b00e0f198ffdc085edc,Evil Geniuses,oe:team:f7f7324c151aa6ed770b244ce08e027,Jhin,Elise,Maokai,Yuumi,K'Sante,Nautilus,2582,1,7,0,7,18,17,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4183,0.7901,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,25911,602.1146,0.251163,369.3184,232.5407,24,0.5577,6,0.1394,11,50,1.1619,20512,14969,347.8466,0.283127,17925,,393.0,369.0,24,,,9.1325,3500.0,3231.0,75.0,2884.0,2844.0,67.0,616.0,387.0,8.0,1.0,1.0,0.0,0.0,0.0,2.0,5472.0,6106.0,123.0,4338.0,4910.0,111.0,1134.0,1196.0,12.0,1.0,3.0,0.0,0.0,0.0,3.0
5116,ESPORTSTMNT02_3141793,complete,LCS,2023,Spring,0,2023-01-26 23:18:55,1,13.01,5,Blue,sup,Vulcan,oe:player:81acc6bcde5c927c78e0990e9887f84,Evil Geniuses,oe:team:f7f7324c151aa6ed770b244ce08e027,Ashe,Elise,Maokai,Yuumi,K'Sante,Nautilus,2582,1,1,2,12,18,17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4183,0.7901,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,14712,341.8745,0.142608,180.4648,56.189,96,2.2308,25,0.5809,18,200,4.6476,10968,5425,126.0651,0.102611,8975,,37.0,37.0,0,,,0.8598,2385.0,2450.0,0.0,2202.0,2794.0,14.0,183.0,-344.0,-14.0,0.0,2.0,0.0,0.0,0.0,0.0,3764.0,3746.0,3.0,3376.0,4117.0,20.0,388.0,-371.0,-17.0,0.0,4.0,1.0,0.0,1.0,1.0
5117,ESPORTSTMNT02_3141793,complete,LCS,2023,Spring,0,2023-01-26 23:18:55,1,13.01,6,Red,top,Licorice,oe:player:e03d0722b6dce835cde3268c08c4f54,Golden Guardians,oe:team:87ee02298073abc2d55060f097d4041,Olaf,Lucian,Ryze,Heimerdinger,Kassadin,Irelia,2582,0,3,4,2,16,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3718,0.7901,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,16461,382.5174,0.177932,688.5593,1319.4888,15,0.3486,13,0.3021,10,65,1.5105,16336,10793,250.8056,0.226486,14860,,341.0,324.0,17,,,7.9241,3184.0,4513.0,87.0,3582.0,4961.0,78.0,-398.0,-448.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,4923.0,7305.0,132.0,5720.0,7794.0,123.0,-797.0,-489.0,9.0,0.0,1.0,2.0,2.0,0.0,1.0
5118,ESPORTSTMNT02_3141793,complete,LCS,2023,Spring,0,2023-01-26 23:18:55,1,13.01,7,Red,jng,River,oe:player:7c3395efccd48fe73592001501bef83,Golden Guardians,oe:team:87ee02298073abc2d55060f097d4041,Wukong,Lucian,Ryze,Heimerdinger,Kassadin,Irelia,2582,0,7,3,5,16,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3718,0.7901,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,1.0,18680,434.0821,0.201918,1068.8691,1210.8056,14,0.3253,30,0.6971,12,85,1.9752,15627,10084,234.33,0.211609,14550,,263.0,63.0,200,,,6.1115,3042.0,3315.0,58.0,3519.0,3316.0,52.0,-477.0,-1.0,6.0,0.0,1.0,0.0,1.0,1.0,0.0,5258.0,5703.0,95.0,6116.0,5997.0,85.0,-858.0,-294.0,10.0,2.0,2.0,1.0,4.0,2.0,0.0
5119,ESPORTSTMNT02_3141793,complete,LCS,2023,Spring,0,2023-01-26 23:18:55,1,13.01,8,Red,mid,Young,oe:player:aa7b13aaac8ab04283ce9626c6399d0,Golden Guardians,oe:team:87ee02298073abc2d55060f097d4041,Sylas,Lucian,Ryze,Heimerdinger,Kassadin,Irelia,2582,0,3,4,6,16,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3718,0.7901,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,20288,471.4485,0.219299,717.3974,654.5856,17,0.395,11,0.2556,4,59,1.371,16855,11312,262.866,0.237377,15900,,326.0,310.0,16,,,7.5755,3189.0,4603.0,65.0,3339.0,4539.0,90.0,-150.0,64.0,-25.0,1.0,0.0,0.0,0.0,0.0,1.0,5208.0,7369.0,111.0,5007.0,7134.0,141.0,201.0,235.0,-30.0,2.0,1.0,1.0,0.0,0.0,2.0
