,gameid,result,ckpm,gspd,golddiffat15,firstblood,firsttower,firsttothreetowers,turretplates,firstherald,firstdragon,dragons,minionkills,monsterkills,wpm,wcpm,gd10,cspm,csd10,egpm
41327,ESPORTSTMNT01_3325223,0,0.8301,-0.0570772,2297.0,1.0,0.0,1.0,5.0,1.0,1.0,0.429,0.525,0.507,4.491,1.7879,1011.0,30.5853,3.0,206.188
30514,ESPORTSTMNT03_3116154,0,0.8965,0.0036459,-335.0,1.0,0.0,1.0,4.0,0.0,0.0,0.286,0.497,0.456,2.9669,2.5827,475.0,29.6051,-24.0,212.721
38818,ESPORTSTMNT03_3127386,0,0.6545,0.0334213,1552.0,1.0,1.0,1.0,5.0,0.0,1.0,0.833,0.477,0.556,5.2357,2.6646,1449.0,33.3541,3.0,243.296
2699,ESPORTSTMNT04_2664180,1,0.457,-0.0945145,-128.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.498,0.481,3.5294,2.2091,-12.0,35.2179,-12.0,231.184
6622,ESPORTSTMNT03_3092604,0,0.5889,-0.004577,-1170.0,0.0,0.0,0.0,3.0,1.0,1.0,0.5,0.497,0.478,4.1225,1.6726,-1823.0,32.1084,0.0,195.468
20746,ESPORTSTMNT02_3151589,1,0.5295,-0.0194388,-2259.0,0.0,0.0,0.0,3.0,0.0,1.0,0.5,0.491,0.561,0.0,2.1661,-1391.0,34.0794,9.0,238.349
26903,ESPORTSTMNT02_3165696,0,0.4682,-0.0956538,-488.0,1.0,0.0,0.0,0.0,0.0,0.0,0.667,0.505,0.478,0.0,1.8026,-596.0,32.4698,-11.0,192.721
42262,ESPORTSTMNT01_3324554,1,0.5589,0.051598,3437.0,1.0,1.0,1.0,6.0,1.0,1.0,0.667,0.517,0.533,3.0134,1.9927,519.0,33.9004,-8.0,239.708
20915,ESPORTSTMNT02_3153683,0,0.4688,0.000903606,-257.0,0.0,0.0,1.0,2.0,1.0,1.0,0.286,0.49,0.514,0.0,1.801,-117.0,33.7993,8.0,212.368
40799,ESPORTSTMNT01_3325029,0,0.5686,-0.121504,644.0,1.0,0.0,0.0,2.0,1.0,0.0,0.4,0.487,0.412,3.3869,1.5328,679.0,32.3857,-1.0,195.718
