,gameid,result,ckpm,gspd,golddiffat15,firstblood,firsttower,firsttothreetowers,turretplates,firstherald,firstdragon,dragons,minionkills,monsterkills,wpm,wcpm
9370,ESPORTSTMNT01_3298877,0,0.393,-0.0697178,-336.0,1.0,0.0,0.0,2.0,1.0,0.0,0.2,0.486,0.453,3.6157,1.7555
14866,ESPORTSTMNT01_3308842,1,0.5063,0.090535,-1107.0,0.0,0.0,0.0,4.0,0.0,0.0,0.5,0.504,0.614,3.6456,1.8987
10438,ESPORTSTMNT01_3301201,0,0.6038,-0.0981027,-523.0,0.0,0.0,0.0,3.0,1.0,0.0,0.2,0.493,0.452,2.4154,1.6468
15646,ESPORTSTMNT01_3311377,1,0.3605,0.116043,507.0,1.0,1.0,1.0,4.0,1.0,0.0,0.667,0.493,0.567,3.0644,1.5451
19775,ESPORTSTMNT02_3152188,1,0.4871,0.17509,1446.0,1.0,0.0,1.0,3.0,0.0,0.0,0.6,0.513,0.607,0.0,1.8052
5914,ESPORTSTMNT02_3139949,0,0.8479,0.00233725,2919.0,1.0,1.0,1.0,7.0,1.0,0.0,0.333,0.522,0.511,2.793,2.3192
43439,ESPORTSTMNT01_3325814,1,0.8638,0.0838637,143.0,0.0,1.0,1.0,6.0,1.0,1.0,0.8,0.509,0.562,3.332,1.703
14867,ESPORTSTMNT01_3308842,0,0.5063,-0.090535,1107.0,1.0,1.0,1.0,5.0,1.0,1.0,0.5,0.496,0.386,3.2152,1.8734
30358,ESPORTSTMNT03_3116064,1,0.8274,0.160294,6945.0,1.0,1.0,1.0,8.0,1.0,1.0,0.8,0.491,0.553,4.5374,2.0285
37559,ESPORTSTMNT03_3124934,0,0.6542,-0.132947,-1560.0,0.0,0.0,0.0,5.0,1.0,0.0,0.2,0.502,0.489,2.7998,1.9887
36574,ESPORTSTMNT06_2775338,1,0.655,0.0587615,354.0,1.0,1.0,1.0,4.0,1.0,1.0,0.8,0.483,0.523,3.4741,1.9364
42215,ESPORTSTMNT01_3326454,0,0.6027,-0.110622,1713.0,0.0,1.0,1.0,8.0,0.0,1.0,0.286,0.501,0.446,3.8088,1.6874
42214,ESPORTSTMNT01_3326454,1,0.6027,0.110622,-1713.0,1.0,0.0,0.0,3.0,1.0,0.0,0.714,0.499,0.554,3.3266,1.9044
