,gameid,result,ckpm,gspd,golddiffat15,firstblood,firsttower,firsttothreetowers,turretplates,firstherald,firstdragon,dragons,minionkills,monsterkills,wpm,wcpm
14806,ESPORTSTMNT01_3308816,0,0.9398,-0.248319,-1755.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.508,0.446,3.2707,1.4286
42299,ESPORTSTMNT01_3325518,0,0.773,-0.168457,-1717.0,1.0,0.0,0.0,3.0,0.0,0.0,0.25,0.484,0.408,3.681,1.7301
5867,ESPORTSTMNT02_3139934,1,1.1358,0.162574,3962.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.509,0.57,2.624,1.0966
9346,ESPORTSTMNT01_3298856,1,0.8323,0.25835,2293.0,1.0,1.0,1.0,7.0,1.0,1.0,0.75,0.505,0.586,3.5561,1.4376
10330,ESPORTSTMNT01_3300211,0,0.5948,-0.239354,-3885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.481,0.428,2.8253,1.7844
42347,ESPORTSTMNT01_3326540,0,1.2597,-0.179594,-1121.0,0.0,0.0,0.0,3.0,0.0,1.0,0.25,0.492,0.454,3.1314,1.4037
14807,ESPORTSTMNT01_3308816,1,0.9398,0.248319,1755.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.492,0.554,3.0451,1.4286
9514,ESPORTSTMNT01_3299893,1,0.9096,0.104611,3151.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.516,0.574,2.8381,1.2735
41279,ESPORTSTMNT01_3325173,0,0.5266,-0.240681,-5989.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.471,0.385,3.0846,1.7304
9347,ESPORTSTMNT01_3298856,0,0.8323,-0.25835,-2293.0,0.0,0.0,0.0,2.0,0.0,0.0,0.25,0.495,0.414,2.5725,1.1349
36635,ESPORTSTMNT06_2775340,0,0.7423,-0.12013,-3962.0,0.0,0.0,0.0,1.0,0.0,1.0,0.667,0.483,0.425,2.8454,1.4021
30431,ESPORTSTMNT03_3115161,1,0.6043,0.368489,7038.0,0.0,1.0,1.0,11.0,1.0,1.0,1.0,0.529,0.559,3.7122,1.4245
25943,ESPORTSTMNT02_3164252,1,1.203,0.18149,1930.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.502,0.643,0.0,2.0677
5866,ESPORTSTMNT02_3139934,0,1.1358,-0.162574,-3962.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.491,0.43,2.859,0.8225
15695,ESPORTSTMNT01_3311408,1,0.9103,0.139483,5475.0,0.0,1.0,1.0,11.0,0.0,1.0,1.0,0.533,0.567,2.8138,0.9517
25942,ESPORTSTMNT02_3164252,0,1.203,-0.18149,-1930.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.498,0.357,0.0,1.7293
9466,ESPORTSTMNT01_3297964,0,0.6771,-0.0895692,-4495.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.477,0.492,2.7837,1.279
36455,ESPORTSTMNT03_3124379,1,0.9811,0.12713,3761.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,0.506,0.545,3.0566,0.9434
9515,ESPORTSTMNT01_3299893,0,0.9096,-0.104611,-3151.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.484,0.426,2.547,1.0552
36454,ESPORTSTMNT03_3124379,0,0.9811,-0.12713,-3761.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.455,2.5283,1.0943
30430,ESPORTSTMNT03_3115161,0,0.6043,-0.368489,-7038.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.441,2.8921,1.5108
15694,ESPORTSTMNT01_3311408,0,0.9103,-0.139483,-5475.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.467,0.433,2.069,0.869
