,gameid,result,ckpm,gspd,golddiffat15,firstblood,firsttower,firsttothreetowers,turretplates,firstherald,firstdragon,dragons,minionkills,monsterkills,wpm,wcpm,gd10,cspm,csd10,egpm
20914,ESPORTSTMNT02_3153683,1,0.4688,-0.000903606,257.0,1.0,1.0,0.0,4.0,0.0,0.0,0.714,0.51,0.486,0.0,1.6036,117.0,34.5641,-8.0,252.336
5122,ESPORTSTMNT02_3141793,1,0.7901,0.0387877,2976.0,1.0,0.0,1.0,6.0,1.0,1.0,0.667,0.514,0.513,3.9737,1.7893,1824.0,33.2998,4.0,245.721
31847,ESPORTSTMNT03_3116753,0,0.9488,-0.00801237,-1548.0,0.0,0.0,0.0,2.0,0.0,0.0,0.286,0.505,0.45,4.5181,1.8298,-887.0,32.3268,-6.0,236.914
30394,ESPORTSTMNT03_3116100,0,0.5765,-0.045083,113.0,1.0,1.0,0.0,4.0,1.0,0.0,0.333,0.503,0.454,3.0899,1.5219,934.0,32.4904,-40.0,221.963
21934,ESPORTSTMNT02_3154101,0,0.3946,-0.0467567,-1706.0,0.0,0.0,0.0,3.0,1.0,0.0,0.571,0.511,0.427,0.0,1.9497,-204.0,32.3327,21.0,211.256
19690,ESPORTSTMNT02_3153139,1,0.7818,0.0590825,291.0,1.0,0.0,0.0,3.0,1.0,1.0,0.333,0.501,0.494,0.0,1.586,854.0,31.5637,-3.0,257.254
5830,ESPORTSTMNT02_3139906,1,0.5208,0.0083711,-3732.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.51,0.456,3.1698,1.8113,-2179.0,32.2415,-47.0,234.58
19691,ESPORTSTMNT02_3153139,0,0.7818,-0.0590825,-291.0,0.0,1.0,1.0,5.0,0.0,0.0,0.667,0.499,0.506,0.0,1.6754,-854.0,31.6307,3.0,217.894
15922,ESPORTSTMNT01_3309624,1,0.451,0.000703901,539.0,0.0,1.0,1.0,7.0,1.0,0.0,0.571,0.503,0.474,3.4724,1.6234,300.0,32.0406,19.0,227.445
30515,ESPORTSTMNT03_3116154,1,0.8965,-0.0036459,335.0,0.0,1.0,0.0,6.0,1.0,1.0,0.714,0.503,0.544,4.7812,1.8356,-475.0,30.9498,24.0,243.492
20951,ESPORTSTMNT02_3152651,1,0.4588,0.0458642,-210.0,0.0,1.0,1.0,3.0,0.0,0.0,0.667,0.512,0.51,0.0,2.3662,-1150.0,34.3099,-13.0,235.292
35158,ESPORTSTMNT03_3120628,1,0.4988,0.0684105,3484.0,0.0,1.0,1.0,10.0,1.0,0.0,0.8,0.52,0.521,3.963,2.8545,1950.0,38.5774,38.0,262.614
30395,ESPORTSTMNT03_3116100,1,0.5765,0.045083,-113.0,0.0,0.0,1.0,2.0,0.0,1.0,0.667,0.497,0.546,3.0438,1.4527,-934.0,33.2975,40.0,235.946
49162,ESPORTSTMNT06_2777097,0,0.7582,-0.0340934,755.0,0.0,1.0,0.0,8.0,1.0,0.0,0.2,0.547,0.355,3.5636,1.8197,-988.0,33.2098,20.0,235.173
21215,ESPORTSTMNT02_3152737,1,0.8635,0.0477612,1233.0,0.0,1.0,1.0,6.0,1.0,1.0,0.714,0.504,0.43,0.0,2.0369,831.0,30.0,0.0,239.429
18886,ESPORTSTMNT02_3150774,1,0.4213,0.145017,2164.0,0.0,1.0,1.0,8.0,1.0,0.0,0.5,0.494,0.55,0.0,2.0399,803.0,32.1729,0.0,229.197
20207,ESPORTSTMNT02_3153371,1,0.7212,0.162377,-530.0,0.0,0.0,0.0,6.0,1.0,1.0,0.667,0.487,0.489,0.0,2.5549,-539.0,29.114,-37.0,250.084
6623,ESPORTSTMNT03_3092604,1,0.5889,0.004577,1170.0,1.0,1.0,1.0,5.0,0.0,0.0,0.5,0.503,0.522,2.874,2.6148,1823.0,32.8622,0.0,227.034
2698,ESPORTSTMNT04_2664180,0,0.457,0.0945145,128.0,0.0,0.0,1.0,3.0,1.0,1.0,0.5,0.502,0.519,4.7736,2.1837,12.0,35.8781,12.0,242.057
31846,ESPORTSTMNT03_3116753,1,0.9488,0.00801237,1548.0,1.0,1.0,1.0,7.0,1.0,1.0,0.714,0.495,0.55,4.1566,2.7108,887.0,33.1175,6.0,255.723
15923,ESPORTSTMNT01_3309624,0,0.451,-0.000703901,-539.0,1.0,0.0,0.0,3.0,0.0,1.0,0.429,0.497,0.526,3.044,2.0068,-300.0,32.3788,-19.0,212.207
41327,ESPORTSTMNT01_3325223,0,0.8301,-0.0570772,2297.0,1.0,0.0,1.0,5.0,1.0,1.0,0.429,0.525,0.507,4.491,1.7879,1011.0,30.5853,3.0,206.188
44494,ESPORTSTMNT03_3129819,1,0.9673,0.107085,1547.0,0.0,1.0,0.0,6.0,1.0,1.0,0.833,0.515,0.511,3.3733,1.6618,-1050.0,34.7747,13.0,276.699
30514,ESPORTSTMNT03_3116154,0,0.8965,0.0036459,-335.0,1.0,0.0,1.0,4.0,0.0,0.0,0.286,0.497,0.456,2.9669,2.5827,475.0,29.6051,-24.0,212.721
38818,ESPORTSTMNT03_3127386,0,0.6545,0.0334213,1552.0,1.0,1.0,1.0,5.0,0.0,1.0,0.833,0.477,0.556,5.2357,2.6646,1449.0,33.3541,3.0,243.296
2699,ESPORTSTMNT04_2664180,1,0.457,-0.0945145,-128.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.498,0.481,3.5294,2.2091,-12.0,35.2179,-12.0,231.184
6622,ESPORTSTMNT03_3092604,0,0.5889,-0.004577,-1170.0,0.0,0.0,0.0,3.0,1.0,1.0,0.5,0.497,0.478,4.1225,1.6726,-1823.0,32.1084,0.0,195.468
20746,ESPORTSTMNT02_3151589,1,0.5295,-0.0194388,-2259.0,0.0,0.0,0.0,3.0,0.0,1.0,0.5,0.491,0.561,0.0,2.1661,-1391.0,34.0794,9.0,238.349
26903,ESPORTSTMNT02_3165696,0,0.4682,-0.0956538,-488.0,1.0,0.0,0.0,0.0,0.0,0.0,0.667,0.505,0.478,0.0,1.8026,-596.0,32.4698,-11.0,192.721
42262,ESPORTSTMNT01_3324554,1,0.5589,0.051598,3437.0,1.0,1.0,1.0,6.0,1.0,1.0,0.667,0.517,0.533,3.0134,1.9927,519.0,33.9004,-8.0,239.708
21214,ESPORTSTMNT02_3152737,0,0.8635,-0.0477612,-1233.0,1.0,0.0,0.0,2.0,0.0,0.0,0.286,0.496,0.57,0.0,1.7712,-831.0,30.9963,0.0,218.626
20915,ESPORTSTMNT02_3153683,0,0.4688,0.000903606,-257.0,0.0,0.0,1.0,2.0,1.0,1.0,0.286,0.49,0.514,0.0,1.801,-117.0,33.7993,8.0,212.368
51671,ESPORTSTMNT01_3337758,1,0.9295,0.0778327,5668.0,1.0,1.0,1.0,9.0,1.0,1.0,0.667,0.48,0.638,3.323,1.6731,2662.0,34.3919,25.0,266.598
40799,ESPORTSTMNT01_3325029,0,0.5686,-0.121504,644.0,1.0,0.0,0.0,2.0,1.0,0.0,0.4,0.487,0.412,3.3869,1.5328,679.0,32.3857,-1.0,195.718
25810,ESPORTSTMNT02_3163051,1,0.85,-0.0288154,-2681.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167,0.46,0.478,0.0,1.244,-2327.0,28.4036,-34.0,242.024
39239,ESPORTSTMNT06_2775531,0,0.8535,-0.0238804,2053.0,1.0,1.0,0.0,7.0,1.0,1.0,0.571,0.508,0.607,3.1792,1.4936,838.0,31.0242,37.0,226.826
