"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Kalista","ADC",6,"6.5%","7.5%","16.1%","67%","83%",27,8,25,6.5,"63.4%","11.9%","17%",155,55,3,8.8,"29.6%",339,"17.4%","26.2%",0.35,0.34
"Kalista","Support",2,"2.2%","7.5%","16.1%","100%","100%",4,8,12,2,"55.2%","50.0%","50%",48,438,2,1.1,"5.1%",348,"14.4%","12.6%",2.11,0.79
"Karma","Support",13,"14.0%","12.9%","26.9%","54%","23%",8,24,130,5.8,"75.8%","15.4%","46%",45,-170,-1.1,0.7,"2.6%",212,"9.4%","9.5%",1.17,0.43
"Kassadin","Middle",2,"2.2%","29.0%","31.2%","0%","100%",2,3,6,2.7,"72.7%","11.1%","0%",-209,140,-4,8.5,"26.3%",553,"26.6%","24.5%",0.17,0.31
"Kindred","Jungle",3,"3.2%","24.7%","28.0%","67%","67%",7,4,19,6.5,"63.4%","16.7%","0%",-362,-38,2,6.8,"22.4%",488,"19.5%","21.2%",1.16,0.75
"LeBlanc","Middle",7,"7.5%","14.0%","21.5%","43%","86%",25,22,37,2.8,"68.9%","21.0%","43%",323,-63,4.1,7.4,"22.0%",672,"27.8%","22.4%",0.34,0.31
"Lee Sin","Jungle",9,"9.7%","17.2%","28.0%","44%","56%",21,28,40,2.2,"72.6%","22.4%","22%",40,-30,-2.7,5.5,"16.6%",251,"11.4%","17.8%",0.54,0.3
"Lee Sin","Top",1,"1.1%","17.2%","28.0%","100%","100%",1,2,5,3,"42.9%","66.7%","0%",-120,-260,-13,8.1,"26.3%",243,"14.0%","18.0%",0,0.11
"Lissandra","Middle",2,"2.2%","2.2%","4.3%","100%","100%",6,2,27,16.5,"68.8%","8.3%","50%",113,27,10.5,8.7,"25.9%",457,"20.9%","21.4%",0.18,0.17
"Lucian","ADC",30,"32.3%","19.4%","51.6%","43%","43%",105,71,104,2.9,"68.3%","20.4%","23%",17,55,1.4,9.1,"30.4%",623,"28.5%","26.8%",0.29,0.37
